"","ASR","category","type","rankings","iso","name"
"1721",3.9,"colorectum","mortality",143,"AGO","Angola"
"1722",3.9,"colorectum","mortality",143,"CIV","Côte D'Ivoire"
"1723",3.9,"colorectum","mortality",143,"TJK","Tajikistan"
"1724",3.9,"colorectum","mortality",143,"BHR","Bahrain"
"1725",25.2,"breast","incidence",144,"GNQ","Equatorial Guinea"
"1726",10.3,"breast","mortality",144,"ECU","Ecuador"
"1727",10.3,"breast","mortality",144,"LKA","Sri Lanka"
"1728",3.8,"lung","incidence",144,"YEM","Yemen"
"1729",3.4,"lung","mortality",144,"YEM","Yemen"
"1730",5.2,"colorectum","incidence",144,"GAB","Gabon"
"1731",25.1,"breast","incidence",145,"CPV","Cabo Verde"
"1732",3.3,"lung","incidence",145,"NAM","Namibia"
"1733",3.1,"lung","mortality",145,"NAM","Namibia"
"1734",5.1,"colorectum","incidence",145,"RWA","Rwanda"
"1735",24.4,"breast","incidence",146,"NAM","Namibia"
"1736",10.2,"breast","mortality",146,"NIC","Nicaragua"
"1737",10.2,"breast","mortality",146,"GUM","Guam"
"1738",3.2,"lung","incidence",146,"ETH","Ethiopia"
"1739",2.9,"lung","mortality",146,"SWZ","Swaziland"
"1740",3,"liver","incidence",146,"PRY","Paraguay"
"1741",3,"liver","incidence",146,"WSM","Samoa"
"1742",2.8,"liver","mortality",146,"BFA","Burkina Faso"
"1743",2.8,"liver","mortality",146,"PAK","Pakistan"
"1744",2.8,"liver","mortality",146,"NOR","Norway"
"1745",3.6,"stomach","incidence",146,"LBY","Libya"
"1746",2.8,"stomach","mortality",146,"BFA","Burkina Faso"
"1747",2.8,"stomach","mortality",146,"PAK","Pakistan"
"1748",2.8,"stomach","mortality",146,"NOR","Norway"
"1749",5,"colorectum","incidence",146,"AGO","Angola"
"1750",24.3,"breast","incidence",147,"SLE","Sierra Leone"
"1751",3,"lung","incidence",147,"SWZ","Swaziland"
"1752",2.8,"lung","mortality",147,"ETH","Ethiopia"
"1753",0.9,"thyroid","incidence",147,"MWI","Malawi"
"1754",0.9,"thyroid","incidence",147,"GTM","Guatemala"
"1755",3.5,"stomach","incidence",147,"MRT","Mauritania"
"1756",4.9,"colorectum","incidence",147,"GUF","French Guiana"
"1757",4.9,"colorectum","incidence",147,"AFG","Afghanistan"
"1758",3.8,"colorectum","mortality",147,"ZMB","Zambia"
