"","category","location","years","value"
"730","눈볼대","전라남도",1971,72
"731","눈볼대","경상남도",1971,423
"732","능성어","부산광역시",1971,169
"733","능성어","경기도",1971,0
"734","능성어","충청남도",1971,0
"735","능성어","전라남도",1971,30
"736","능성어","경상남도",1971,73
"737","능성어","제주도",1971,11
"738","기타다랑어류","강원도",1971,0
"739","기타다랑어류","충청남도",1971,1
"740","기타다랑어류","전라남도",1971,1
"741","기타다랑어류","경상북도",1971,43
"742","기타다랑어류","경상남도",1971,15
"743","기타다랑어류","제주도",1971,0
"744","도루묵","부산광역시",1971,1355
"745","도루묵","경기도",1971,2
"746","도루묵","강원도",1971,17342
"747","도루묵","전라북도",1971,0
"748","도루묵","전라남도",1971,25
"749","도루묵","경상북도",1971,5495
"750","도루묵","경상남도",1971,590
"751","대구","부산광역시",1971,711
"752","대구","경기도",1971,897
"753","대구","강원도",1971,161
"754","대구","전라북도",1971,46
"755","대구","전라남도",1971,0
"756","대구","경상북도",1971,69
"757","대구","경상남도",1971,687
"758","감성돔","부산광역시",1971,137
"759","감성돔","강원도",1971,0
"760","감성돔","충청남도",1971,0
"761","감성돔","전라남도",1971,58
"762","감성돔","경상남도",1971,301
"763","감성돔","제주도",1971,3
"764","옥돔","전라남도",1971,0
"765","옥돔","경상남도",1971,15
"766","옥돔","제주도",1971,96
"767","참돔","부산광역시",1971,298
"768","참돔","경기도",1971,2
"769","참돔","강원도",1971,0
"770","참돔","충청남도",1971,60
"771","참돔","전라북도",1971,87
"772","참돔","전라남도",1971,257
"773","참돔","경상북도",1971,0
"774","참돔","경상남도",1971,229
"775","참돔","제주도",1971,34
"776","기타돔류","부산광역시",1971,226
"777","기타돔류","경기도",1971,0
"778","기타돔류","강원도",1971,19
"779","기타돔류","충청남도",1971,35
